ID,Word List,Category,English,Male'_Word,Male_vs_Addu_Best_Pair,Male_vs_Addu_Raw_Dist,Male_vs_Addu_Norm_Dist,Male_vs_Addu_Sim_Pct,Male_vs_Huvadhu_Best_Pair,Male_vs_Huvadhu_Raw_Dist,Male_vs_Huvadhu_Norm_Dist,Male_vs_Huvadhu_Sim_Pct,Male_vs_Fuvahmulah_Best_Pair,Male_vs_Fuvahmulah_Raw_Dist,Male_vs_Fuvahmulah_Norm_Dist,Male_vs_Fuvahmulah_Sim_Pct,Male_vs_Maliku_Best_Pair,Male_vs_Maliku_Raw_Dist,Male_vs_Maliku_Norm_Dist,Male_vs_Maliku_Sim_Pct,Male_vs_Sinhala_Best_Pair,Male_vs_Sinhala_Raw_Dist,Male_vs_Sinhala_Norm_Dist,Male_vs_Sinhala_Sim_Pct,Male_vs_Malayalam_Best_Pair,Male_vs_Malayalam_Raw_Dist,Male_vs_Malayalam_Norm_Dist,Male_vs_Malayalam_Sim_Pct,Male_vs_Arabic_Best_Pair,Male_vs_Arabic_Raw_Dist,Male_vs_Arabic_Norm_Dist,Male_vs_Arabic_Sim_Pct,Male_Closest_Dhivehi_Dialect,Male_Closest_Dhivehi_Sim_Pct,Male_Closest_Dhivehi_Raw_Dist,Male_Closest_Foreign_Lang,Male_Closest_Foreign_Sim_Pct,Male_Closest_Foreign_Raw_Dist,Male_Is_Dhivehi_Dialect_Closer,Addu_vs_Huvadhu_Best_Pair,Addu_vs_Huvadhu_Raw_Dist,Addu_vs_Huvadhu_Norm_Dist,Addu_vs_Huvadhu_Sim_Pct,Addu_vs_Fuvahmulah_Best_Pair,Addu_vs_Fuvahmulah_Raw_Dist,Addu_vs_Fuvahmulah_Norm_Dist,Addu_vs_Fuvahmulah_Sim_Pct,Addu_vs_Maliku_Best_Pair,Addu_vs_Maliku_Raw_Dist,Addu_vs_Maliku_Norm_Dist,Addu_vs_Maliku_Sim_Pct,Huvadhu_vs_Fuvahmulah_Best_Pair,Huvadhu_vs_Fuvahmulah_Raw_Dist,Huvadhu_vs_Fuvahmulah_Norm_Dist,Huvadhu_vs_Fuvahmulah_Sim_Pct,Huvadhu_vs_Maliku_Best_Pair,Huvadhu_vs_Maliku_Raw_Dist,Huvadhu_vs_Maliku_Norm_Dist,Huvadhu_vs_Maliku_Sim_Pct,Fuvahmulah_vs_Maliku_Best_Pair,Fuvahmulah_vs_Maliku_Raw_Dist,Fuvahmulah_vs_Maliku_Norm_Dist,Fuvahmulah_vs_Maliku_Sim_Pct,Overall_Closest_Dhivehi_Pair,Overall_Closest_Dhivehi_Sim_Pct,Overall_Closest_Dhivehi_Words
SW100-001,Swadesh 100,Quantitatives,all,Hurihaa,Hurihaa ~ Hushihei,4,0.5,50.0,,,,,,,,,,,,,Hurihaa ~ Hama,5,0.7143,28.57,Hurihaa ~ Sarvva,5,0.7143,28.57,Hurihaa ~ Kulla,5,0.7143,28.57,Addu,50.0,4,Sinhala/Malayalam/Arabic,28.57,5,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,50.0,Hurihaa ~ Hushihei
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Alhi,Alhi ~ Alhi,0,0.0,100.0,,,,,,,,,,,,,Alhi ~ Aḻu,3,0.75,25.0,Alhi ~ Cāraṃ,5,1.0,0.0,Alhi ~ Ramāda,5,0.8333,16.67,Addu,100.0,0,Sinhala,25.0,3,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Alhi ~ Alhi
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Thoshi,Thoshi ~ Thoshi,0,0.0,100.0,,,,,,,,,,,,,Thoshi ~ Pòtu,6,1.0,0.0,Thoshi ~ Tol,4,0.6667,33.33,Thoshi ~ Qilfa,6,1.0,0.0,Addu,100.0,0,Malayalam,33.33,4,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Thoshi ~ Thoshi
SW100-004,Swadesh 100,Body Parts & Substances,belly,Bandu,Bandu ~ Banda,1,0.2,80.0,Bandu ~ Badaa,3,0.6,40.0,,,,,,,,,Bandu ~ Baḍa,3,0.6,40.0,Bandu ~ Vayaṟ,4,0.8,20.0,Bandu ~ Baẗana,5,0.7143,28.57,Addu,80.0,1,Sinhala,40.0,3,Yes (Dialect closer),Banda ~ Badaa,2,0.4,60.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,80.0,Bandu ~ Banda
SW100-005,Swadesh 100,Size,big,Bodu,Bodu ~ Bonda,2,0.4,60.0,Bodu ~ Bode,1,0.25,75.0,,,,,,,,,Bodu ~ Lòku,3,0.75,25.0,Bodu ~ Valiya,6,1.0,0.0,Bodu ~ Kabīra,5,0.8333,16.67,Huvadhu,75.0,1,Sinhala,25.0,3,Yes (Dialect closer),Bonda ~ Bode,2,0.4,60.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,75.0,Bodu ~ Bode
SW100-006,Swadesh 100,Animals,bird,Dhooni,Dhooni ~ Dheeni,2,0.3333,66.67,Dhooni ~ Dhoonna,2,0.2857,71.43,,,,,,,,,Dhooni ~ Kurullā,7,1.0,0.0,Dhooni ~ Kiḻi,5,0.8333,16.67,,,,,Huvadhu,71.43,2,Malayalam,16.67,5,Yes (Dialect closer),Dheeni ~ Dhoonna,4,0.5714,42.86,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,71.43,Dhooni ~ Dhoonna
SW100-007,Swadesh 100,Body Sensations & Activities,bite,Dhaigathun/Dhaielhun,Dhaielhun ~ Dheyvun,4,0.4444,55.56,,,,,,,,,,,,,Dhaigathun ~ Hapanavā,7,0.7,30.0,Dhaielhun ~ Kaṭikkuka,8,0.8889,11.11,Dhaielhun ~ Äd̈d̈a,8,0.8889,11.11,Addu,55.56,4,Sinhala,30.0,7,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,55.56,Dhaielhun ~ Dheyvun
SW100-008,Swadesh 100,Colors,black,Kalhu,Kalhu ~ Kalha,1,0.2,80.0,Kalhu ~ Kalhe,1,0.2,80.0,,,,,,,,,Kalhu ~ Kaḻu,2,0.4,60.0,Kalhu ~ Kaṟupp,4,0.6667,33.33,,,,,Addu/Huvadhu,80.0,1,Sinhala,60.0,2,Yes (Dialect closer),Kalha ~ Kalhe,1,0.2,80.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu / Male' ⟷ Huvadhu / Addu ⟷ Huvadhu,80.0,Kalhu ~ Kalha / Kalhu ~ Kalhe / Kalha ~ Kalhe
SW100-009,Swadesh 100,Body Parts & Substances,blood,Ley,Ley ~ Lei,1,0.3333,66.67,,,,,,,,,,,,,Ley ~ Le,1,0.3333,66.67,Ley ~ Cora,4,1.0,0.0,Ley ~ Dama,4,1.0,0.0,Addu,66.67,1,Sinhala,66.67,1,Equal,,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,66.67,Ley ~ Lei
SW100-010,Swadesh 100,Body Parts & Substances,bone,Kashi,Kashi ~ Kashi,0,0.0,100.0,Kashi ~ Kantaa,4,0.6667,33.33,,,,,,,,,Kashi ~ Kaṭu,3,0.6,40.0,Kashi ~ Asthi,2,0.4,60.0,Kashi ~ Äjḧma,6,0.8571,14.29,Addu,100.0,0,Malayalam,60.0,2,Yes (Dialect closer),Kashi ~ Kantaa,4,0.6667,33.33,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Kashi ~ Kashi
SW100-011,Swadesh 100,Body Parts & Substances,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-012,Swadesh 100,Miscellaneous,burn,Endhun,Endhun ~ Endhun,0,0.0,100.0,Endhun ~ Edhaa,3,0.5,50.0,,,,,,,,,Endhun ~ Puccanavā,8,0.8889,11.11,Endhun ~ Kattikkuka,9,0.9,10.0,Endhun ~ Ḧaraqa,7,1.0,0.0,Addu,100.0,0,Sinhala,11.11,8,Yes (Dialect closer),Endhun ~ Edhaa,3,0.5,50.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Endhun ~ Endhun
