ID,Word List,Category,English,Male' - Latin,Male' - Thaana,Addu - Latin,Addu - Thaana,Huvadhu - Latin,Huvadhu - Thaana,Fuvahmulah - Latin,Fuvahmulah - Thaana,Sinhala,Malayalam,Arabic,Notes
SW100-001,Swadesh 100,Quantitatives,all,Hurihaa,ހުރިހާ,Hurihaa,ހުރިހާ,Hurihaa,ހުރިހާ,,,Hama / Òkkòma,Èllāṃ / Sarvva / Mul̤uvan / Mòttaṃ,Kulla,
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Alhi,އަޅި,Alhi,އަޅި,Alhi,އަޅި,,,Aḻu,Cāraṃ / Cāmpal,Ramāda,
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Thoshi,ތޮށި,Thoshi,ތޮށި,Thoshi,ތޮށި,,,Pòtu,Tol / Marattol,Qilfa,
SW100-004,Swadesh 100,Body Parts & Substances,belly,Bandu,ބަނޑު,Bando,ބަނޑޮ,Banda,ބަނޑަ,,,Baḍa,Vayaṟ,Baẗana,
SW100-005,Swadesh 100,Size,big,Bodu / Bondo / Bonda,ބޮޑު / ބޮނޑޮ / ބޮނޑަ,Bodo / Bondo / Bonda,ބޮޑޮ / ބޮނޑޮ / ބޮނޑަ,Boda,ބޮޑަ,,,Lòku,Valiya,Kabīra,
SW100-006,Swadesh 100,Animals,bird,Dhooni,ދޫނި,Dhooni,ދޫނި,Dhooni,ދޫނި,,,Kurullā,Kiḻi / Pakṣi,,
SW100-007,Swadesh 100,Body Sensations & Activities,bite,Dhaigathun / Dhathelhun,ދައިގަތުން / ދަތްއެޅުން,Dhaigathun / Dhathelhun,ދައިގަތުން / ދަތްއެޅުން,Dhaigathun / Dhathelhun,ދައިގަތުން / ދަތްއެޅުން,,,Hapanavā,Kaṭikkuka,Äd̈d̈a,
SW100-008,Swadesh 100,Colors,black,Kalhu,ކަޅު,Kalho,ކަޅޮ,Kalha,ކަޅަ,,,Kaḻu,Kaṟupp,,
SW100-009,Swadesh 100,Body Parts & Substances,blood,Ley,ލޭ,Ley,ލޭ,Ley,ލޭ,,,Le,Cora / Raktaṃ / Kuruti / Niṇaṃ,Dama,
SW100-010,Swadesh 100,Body Parts & Substances,bone,Kashi,ކަށި,Kashi,ކަށި,Kashi,ކަށި,,,Kaṭu,Èll / Asthi,Äjḧma,
SW100-011,Swadesh 100,Body Parts & Substances,breast,Kisfaa,ކިސްފާ,Kisfaa,ކިސްފާ,Kisfaa,ކިސްފާ,,,Tane / Piyayuruva,Mula / Stanaṃ,,
SW100-012,Swadesh 100,Miscellaneous,burn,Endhun,އެނދުން,Endhun,އެނދުން,Endhun,އެނދުން,,,Puccanavā,Kattikkuka,Ḧaraqa,
SW100-013,Swadesh 100,Body Parts & Substances,claw,Niyafath,ނިޔަފަތް,Niyafath,ނިޔަފަތް,Niyafath,ނިޔަފަތް,,,Niyapòtu,Nakhaṃ,Jḧufra,
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Vilaa,ވިލާ,Vilaa,ވިލާ,Vilaa,ވިލާ,,,Valākuḻa,Meghaṃ / Mukil / Kòṇṭal,,
SW100-015,Swadesh 100,Descriptives,cold,Fini,ފިނި,Fini,ފިނި,Fini,ފިނި,,,Sītala,Taṇupp,Bārida,
SW100-016,Swadesh 100,Position & Movement,come,Aun,އައުން,Aun,އައުން,Aun,އައުން,,,Ènavā,Varuka,,
SW100-017,Swadesh 100,Body Sensations & Activities,die,Maruvun,މަރުވުން,Maruvun,މަރުވުން,Maruvun,މަރުވުން,,,Marènavā / Miyanavā / Miya yanavā,Marikkuka,Māta,
SW100-018,Swadesh 100,Animals,dog,Balhu / Kuthaa,ބަޅު / ކުއްތާ,Balho / Kuthaa,ބަޅޮ / ކުއްތާ,Balha / Kuthaa,ބަޅަ / ކުއްތާ,,,Ballā,Paṭṭi / Nāya / Śvānan,Kalba,
SW100-019,Swadesh 100,Body Sensations & Activities,drink,Buin,ބުއިން,Buin,ބުއިން,Buin,ބުއިން,,,Bònavā,Kuṭikkuka,Śariba,
SW100-020,Swadesh 100,Descriptives,dry,Hiki / Dhahangu,ހިކި / ދަހަނގު,Hiki / Dhahango,ހިކި / ދަހަނގޮ,Hiki / Dhahanga,ހިކި / ދަހަނގަ,,,Viyaḻi,Varaṇṭa / Uṇaṅṅiya,,
SW100-021,Swadesh 100,Body Parts & Substances,ear,Kanfath,ކަންފަތް,Kanfath,ކަންފަތް,Kanfath,ކަންފަތް,,,Kana,Cèvi / Kāt,,
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Fas,ފަސް,Fas,ފަސް,Fas,ފަސް,,,Pòḻòva,Bhūmi,Ard̈a,
SW100-023,Swadesh 100,Body Sensations & Activities,eat,Keun,ކެއުން,Keun,ކެއުން,Keun,ކެއުން,,,Kanavā,Kal̤ikkuka / Tinnuka / Uṇṇuka / Bhakṣikkuka,Akala,
SW100-024,Swadesh 100,Body Parts & Substances,egg,Bis,ބިސް,Bis,ބިސް,Bis,ބިސް,,,Bittaraya / Aṇḍaya,Muṭṭa,Baid̈aha,
SW100-025,Swadesh 100,Body Parts & Substances,eye,Loa,ލޯ,Loa,ލޯ,Medha,މެދަ,,,Sa,,Äaina,
SW100-026,Swadesh 100,Body Parts & Substances,fat (grease),Sarubee,ސަރުބީ,Sarubee,ސަރުބީ,Sarubee,ސަރުބީ,,,Meda,Kòl̤upp,Duhna,
SW100-027,Swadesh 100,Body Parts & Substances,feather,Dhoonifath,ދޫނިފަތް,Dhoonifath,ދޫނިފަތް,Dhoonifath,ދޫނިފަތް,,,Pihāṭu,Tūval,Rīśaha,
SW100-028,Swadesh 100,Natural Objects & Phenomena,fire,Alifaan,އަލިފާން,Alifaan,އަލިފާން,Alifaan,އަލިފާން,,,Gini,,Nāra,
SW100-029,Swadesh 100,Animals,fish,Mas,މަސް,Mas,މަސް,Mas,މަސް,,,Māḻuvā,Mīn / Matsyaṃ / Jhaṣaṃ / Kannal,,
SW100-030,Swadesh 100,Position & Movement,fly,Udhuhun,އުދުހުން,Udhuhun,އުދުހުން,Udhuhun,އުދުހުން,,,Igilènavā / Piyanavā,Paṟakkuka,T̈aāra,
SW100-031,Swadesh 100,Body Parts & Substances,foot,Faithila,ފައިތިލަ,Faithila,ފައިތިލަ,Faithila,ފައިތިލަ,,,Paya / Kakula,Pādaṃ / Kālaṭi,Qadama,
SW100-032,Swadesh 100,Quantitatives,full,Furifai,ފުރިފައި,Furifai,ފުރިފައި,Furifai,ފުރިފައި,,,Pura,Niṟañña,Mumtaliˀya,
SW100-033,Swadesh 100,Position & Movement,give,Dhinun,ދިނުން,Dhinun,ދިނުން,Dhinun,ދިނުން,,,Dènavā,Nalkuka / Taruka / Kòṭukkuka,Aä​ẗaā,
SW100-034,Swadesh 100,Descriptives,good,Rangalhu,ރަނގަޅު,Rangalho,ރަނގަޅޮ,Rangalha,ރަނގަޅަ,,,Hò,Nalla,T̈aayyiba,
SW100-035,Swadesh 100,Colors,green,Fehi,ފެހި,Fehi,ފެހި,Fehi,ފެހި,,,Kòḻa,Pacca,,
SW100-036,Swadesh 100,Body Parts & Substances,hair,Isthashi,އިސްތަށި,Isthashi,އިސްތަށި,Isthashi,އިސްތަށި,,,Kès / Kòṇḍaya,Muṭi / Kūntal / Mayir,,
SW100-037,Swadesh 100,Body Parts & Substances,hand,Ath,އަތް,Ath,އަތް,Ath,އަތް,,,Ata,Kai / Karaṃ / Hastaṃ,Yada,
SW100-038,Swadesh 100,Body Parts & Substances,head,Boa,ބޯ,Boa,ބޯ,Boa,ބޯ,,,Òluva / Isa,Tala,Raˀasa,
SW100-039,Swadesh 100,Body Sensations & Activities,hear,Ivun,އިވުން,Ivun,އިވުން,Ivun,އިވުން,,,Hènavā,Kekkuka,Samiä,
SW100-040,Swadesh 100,Body Parts & Substances,heart,Hith,ހިތް,Hith,ހިތް,Hith,ހިތް,,,Hadavata / Hita / Ḻaya,Hṛdayaṃ / Nèñcakaṃ,,
SW100-041,Swadesh 100,Body Parts & Substances,horn,Dhalhu,ދަޅު,Dhalho,ދަޅޮ,Dhalha,ދަޅަ,,,A,Kòmp,Qarna,
SW100-042,Swadesh 100,Personal Pronouns,I,Aharen / Ma / Alhugandu,އަހަރެން‎ / މަ / އަޅުގަނޑު,Maa,މާ,Aharen / Ma / Alhuganda,އަހަރެން‎ / މަ / އަޅުގަނޑަ,,,Mama / Maṃ,Ñān,Anā,
SW100-043,Swadesh 100,Miscellaneous,kill,Merun,މެރުން,Merun,މެރުން,Merun,މެރުން,,,Maranavā,Kòlluka,Qatala,
SW100-044,Swadesh 100,Body Parts & Substances,knee,Kakoo,ކަކޫ,Kakoo,ކަކޫ,Kakoo,ކަކޫ,,,Dana hisa,Muṭṭ,Rukbaha,
SW100-045,Swadesh 100,Body Sensations & Activities,know,Engun,އެނގުން,Engun,އެނގުން,Engun,އެނގުން,,,Dannavā,Aṟiyuka,Ärafa,
SW100-046,Swadesh 100,Plants & Plant Parts,leaf,Fath,ފަތް,Fath,ފަތް,Fath,ފަތް,,,Kòḻe,Ila,V̈araqaha,
SW100-047,Swadesh 100,Position & Movement,lie,Oshoatun,އޮށޯޓުން,Oshoatun,އޮށޯޓުން,Oshoatun,އޮށޯޓުން,,,Vatirènavā,Kiṭakkuka,Raqada,
SW100-048,Swadesh 100,Body Parts & Substances,liver,Mey,މޭ,Mey,މޭ,Mey,މޭ,,,Akmāva,Kara,Kabida,
SW100-049,Swadesh 100,Size,long,Dhigu,ދިގު,Dhigo,ދިގޮ,Dhiga,ދިގަ,,,Diga,Nīḻamuḻḻa,T̈aav̈īla,
SW100-050,Swadesh 100,Animals,louse,Ukunu / Ukuޱu,އުކުނު / އުކުޱު,Ukuno / Ukuޱo,އުކުނޮ / އުކުޱޮ,Ukuna / Ukuޱa,އުކުނަ / އުކުޱަ,,,Ukuṇā,Pen,Qamla,
SW100-051,Swadesh 100,Persons,man,Firihen meehaa,ފިރިހެން މީހާ,Firihen meehaa,ފިރިހެން މީހާ,Firihen meehaa,ފިރިހެން މީހާ,,,Pirimiyā,Puruṣan / Āṇ,Rajula,
SW100-052,Swadesh 100,Quantitatives,many,Baivaru,ބައިވަރު,Baivaro,ބައިވަރޮ,Baivara,ބައިވަރަ,,,Gòḍak / Bòhòma,Kuṟe / Pala,Katḧīra,
SW100-053,Swadesh 100,Body Parts & Substances,meat (flesh),Mas,މަސް,Mas,މަސް,Mas,މަސް,,,Mas,Māṃsaṃ / Iṟacci,Laḧma,
SW100-054,Swadesh 100,Natural Objects & Phenomena,moon,Handhu,ހަނދު,Handho,ހަނދޮ,Handha,ހަނދަ,,,Ha,,Qamara,
SW100-055,Swadesh 100,Natural Objects & Phenomena,mountain,Farubadha,ފަރުބަދަ,Farubadha,ފަރުބަދަ,Farubadha,ފަރުބަދަ,,,Kanda / Giri,Mala / Parvvataṃ,Jabala,
SW100-056,Swadesh 100,Body Parts & Substances,mouth,Anga,އަނގަ,Anga,އަނގަ,Anga,އަނގަ,,,Kaṭa,Vāya,Fama,
SW100-057,Swadesh 100,Miscellaneous,name,Nan,ނަން,Nan,ނަން,Nan,ނަން,,,Nama,Per / Nāmaṃ,Aisma,
SW100-058,Swadesh 100,Body Parts & Substances,neck,Karu,ކަރު,Karo,ކަރޮ,Kara,ކަރަ,,,Bèlla,Kal̤utt,Raqabaha,
SW100-059,Swadesh 100,Descriptives,new,Aa / Au,އާ / އައު,Aa / Ao,އާ / އައޮ,Aa,އާ / އައަ,,,Alut,Putiya,,
