Item_ID,Book_Page,PDF_Page,Dialect,Dialect_Code,Word_Index,Dhivehi_Word,English_Gloss,POS,Grammar_Analysis,Full_Sentence,English_Sentence_Translation
1,2,6,Male',M,1,eba,there,ADV,LOC.,eba uḷē eba uḷē fiñdanfuḷakā boḍanfuḷek.,"Somewhere, there live a fiñdanā-bird and a boñdanā-bird."
1,2,6,Male',M,2,uḷē,lives,VERB,LOC.,eba uḷē eba uḷē fiñdanfuḷakā boḍanfuḷek.,"Somewhere, there live a fiñdanā-bird and a boñdanā-bird."
1,2,6,Male',M,3,eba,there,ADV,PRS.3SG.,eba uḷē eba uḷē fiñdanfuḷakā boḍanfuḷek.,"Somewhere, there live a fiñdanā-bird and a boñdanā-bird."
1,2,6,Male',M,4,uḷē,lives,VERB,OBL.SG.,eba uḷē eba uḷē fiñdanfuḷakā boḍanfuḷek.,"Somewhere, there live a fiñdanā-bird and a boñdanā-bird."
1,2,6,Male',M,5,fiñdanfuḷakā,a f.-bird,NOUN,SOC.,eba uḷē eba uḷē fiñdanfuḷakā boḍanfuḷek.,"Somewhere, there live a fiñdanā-bird and a boñdanā-bird."
1,2,6,Male',M,6,boḍanfuḷek,and a b.-bird,CONJ,NOM.SG.,eba uḷē eba uḷē fiñdanfuḷakā boḍanfuḷek.,"Somewhere, there live a fiñdanā-bird and a boñdanā-bird."
1,2,6,Addu,A,1,fiñdanā,the f.-bird,NOUN,NOM.DEF.,fiñdanā bō ebege boñdanā bō ebege.,A fiñdanā-bird lived (there) and a boñdanā-bird lived (there).
1,2,6,Addu,A,2,bō,head,NOUN,OBL.,fiñdanā bō ebege boñdanā bō ebege.,A fiñdanā-bird lived (there) and a boñdanā-bird lived (there).
1,2,6,Addu,A,3,ebege,he lived,VERB,PT.IV.3SG.,fiñdanā bō ebege boñdanā bō ebege.,A fiñdanā-bird lived (there) and a boñdanā-bird lived (there).
1,2,6,Addu,A,4,boñdanā,the b.-bird,NOUN,NOM.DEF.,fiñdanā bō ebege boñdanā bō ebege.,A fiñdanā-bird lived (there) and a boñdanā-bird lived (there).
1,2,6,Addu,A,5,bō,head,NOUN,OBL.,fiñdanā bō ebege boñdanā bō ebege.,A fiñdanā-bird lived (there) and a boñdanā-bird lived (there).
1,2,6,Addu,A,6,ebege,he lived,VERB,PT.IV.3SG.,fiñdanā bō ebege boñdanā bō ebege.,A fiñdanā-bird lived (there) and a boñdanā-bird lived (there).
1,2,6,Fua Mulaku,F,1,fiñdanu,f.-bird,NOUN,NOM.,fiñdanu ebege-ai boñdanu ebege-ai.,"A fiñdanā-bird lived (there) and a boñdanā-bird lived (there), they say."
1,2,6,Fua Mulaku,F,2,ebege,he lived,VERB,PT.3SG.,fiñdanu ebege-ai boñdanu ebege-ai.,"A fiñdanā-bird lived (there) and a boñdanā-bird lived (there), they say."
1,2,6,Fua Mulaku,F,3,ai,they say,QPARTC,EXT.,fiñdanu ebege-ai boñdanu ebege-ai.,"A fiñdanā-bird lived (there) and a boñdanā-bird lived (there), they say."
1,2,6,Fua Mulaku,F,4,boñdanu,b.-bird,NOUN,NOM.,fiñdanu ebege-ai boñdanu ebege-ai.,"A fiñdanā-bird lived (there) and a boñdanā-bird lived (there), they say."
1,2,6,Fua Mulaku,F,5,ebege,he lived,VERB,PT.3SG.,fiñdanu ebege-ai boñdanu ebege-ai.,"A fiñdanā-bird lived (there) and a boñdanā-bird lived (there), they say."
1,2,6,Fua Mulaku,F,6,ai,they say,QPARTC,EXT.,fiñdanu ebege-ai boñdanu ebege-ai.,"A fiñdanā-bird lived (there) and a boñdanā-bird lived (there), they say."
2,2,6,Male',M,1,ge,house,NOUN,OBL.SG.,ge eḍan boñdanfuḷu aḷafi hai vakaru; fidanfuḷu aḷafi fī lieśi.,"As time went by, the f.-bird built a house from rotten brushwood, the b.-bird built a house all from timber."
2,2,6,Male',M,2,eḍan,to build,VERB,INF.,ge eḍan boñdanfuḷu aḷafi hai vakaru; fidanfuḷu aḷafi fī lieśi.,"As time went by, the f.-bird built a house from rotten brushwood, the b.-bird built a house all from timber."
2,2,6,Male',M,3,boñdanfuḷu,the b.-bird,NOUN,NOM.SG.,ge eḍan boñdanfuḷu aḷafi hai vakaru; fidanfuḷu aḷafi fī lieśi.,"As time went by, the f.-bird built a house from rotten brushwood, the b.-bird built a house all from timber."
2,2,6,Male',M,4,aḷafi,he built,VERB,PT.I.3SG.,ge eḍan boñdanfuḷu aḷafi hai vakaru; fidanfuḷu aḷafi fī lieśi.,"As time went by, the f.-bird built a house from rotten brushwood, the b.-bird built a house all from timber."
2,2,6,Male',M,5,hai,teak,NOUN,ATTR.,ge eḍan boñdanfuḷu aḷafi hai vakaru; fidanfuḷu aḷafi fī lieśi.,"As time went by, the f.-bird built a house from rotten brushwood, the b.-bird built a house all from timber."
2,2,6,Male',M,6,vakaru,wood,NOUN,ABL.SG.,ge eḍan boñdanfuḷu aḷafi hai vakaru; fidanfuḷu aḷafi fī lieśi.,"As time went by, the f.-bird built a house from rotten brushwood, the b.-bird built a house all from timber."
2,2,6,Male',M,7,fiñdanfuḷu,the f.-bird,NOUN,NOM.SG.,ge eḍan boñdanfuḷu aḷafi hai vakaru; fidanfuḷu aḷafi fī lieśi.,"As time went by, the f.-bird built a house from rotten brushwood, the b.-bird built a house all from timber."
2,2,6,Male',M,8,aḷafi,he built,VERB,PT.I.3SG.,ge eḍan boñdanfuḷu aḷafi hai vakaru; fidanfuḷu aḷafi fī lieśi.,"As time went by, the f.-bird built a house from rotten brushwood, the b.-bird built a house all from timber."
2,2,6,Male',M,9,fī,rotten,ADJ,ATTR.,ge eḍan boñdanfuḷu aḷafi hai vakaru; fidanfuḷu aḷafi fī lieśi.,"As time went by, the f.-bird built a house from rotten brushwood, the b.-bird built a house all from timber."
2,2,6,Male',M,10,lieśi,brushwood,NOUN,ABL.SG.,ge eḍan boñdanfuḷu aḷafi hai vakaru; fidanfuḷu aḷafi fī lieśi.,"As time went by, the f.-bird built a house from rotten brushwood, the b.-bird built a house all from timber."
2,2,6,Addu,A,1,gē,house,NOUN,NOM.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,2,eḍāś,to build,VERB,INF.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,3,vakara,wood,NOUN,NOM.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,4,kaṇḍāś,to cut,VERB,INF.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,5,gosfei,having gone,VERB,ABS.I,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,6,boñdanā,the b.-bird,NOUN,OBL.DEF.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
